         1005431 function calls (990802 primitive calls) in 0.998 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      100    0.000    0.000    0.002    0.000 <frozen abc>:105(__new__)
       55    0.000    0.000    0.002    0.000 core.py:3643(<listcomp>)
      169    0.001    0.000    0.002    0.000 colors.py:310(_to_rgba_no_colorcycle)
    31402    0.002    0.000    0.002    0.000 {built-in method builtins.callable}
        1    0.000    0.000    0.002    0.002 random.py:1(<module>)
        1    0.000    0.000    0.002    0.002 win.py:1(<module>)
      600    0.001    0.000    0.002    0.000 {built-in method builtins.max}
        2    0.000    0.000    0.002    0.001 core.py:5684(srange)
     4430    0.002    0.000    0.002    0.000 {built-in method builtins.sorted}
        1    0.000    0.000    0.002    0.002 scimath.py:1(<module>)
    10621    0.002    0.000    0.002    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.002    0.002 decoder.py:1(<module>)
      715    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:125(release)
    50/38    0.000    0.000    0.002    0.000 typing.py:500(__getitem__)
       26    0.000    0.000    0.002    0.000 deprecation.py:416(make_keyword_only)
       67    0.000    0.000    0.002    0.000 colors.py:1089(reversed)
  455/235    0.001    0.000    0.002    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
       14    0.000    0.000    0.002    0.000 core.py:595(set_parse_action)
        1    0.000    0.000    0.002    0.002 twodim_base.py:1(<module>)
      237    0.001    0.000    0.002    0.000 typing.py:168(_type_check)
       18    0.000    0.000    0.002    0.000 core.py:262(_trim_arity)
       14    0.000    0.000    0.002    0.000 core.py:675(<listcomp>)
       92    0.000    0.000    0.002    0.000 typing.py:1376(__init__)
      713    0.001    0.000    0.002    0.000 inspect.py:735(unwrap)
      268    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:642(_classify_pyc)
       38    0.000    0.000    0.002    0.000 typing.py:679(Union)
        1    0.000    0.000    0.002    0.002 ExifTags.py:21(Base)
        1    0.000    0.000    0.002    0.002 traceback.py:217(extract_stack)
        1    0.000    0.000    0.002    0.002 traceback.py:372(extract)
      325    0.001    0.000    0.002    0.000 __init__.py:82(find_spec)
  266/157    0.000    0.000    0.002    0.000 core.py:1857(name)
        1    0.000    0.000    0.002    0.002 traceback.py:394(_extract_from_extended_frame_gen)
 3538/834    0.001    0.000    0.002    0.000 __init__.py:353(recursive_subclasses)
      329    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:172(_path_isabs)
       36    0.000    0.000    0.002    0.000 traceback.py:313(line)
      448    0.000    0.000    0.002    0.000 __init__.py:178(sub)
        1    0.000    0.000    0.002    0.002 rrule.py:1(<module>)
        1    0.000    0.000    0.002    0.002 uuid.py:1(<module>)
      331    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:173(__exit__)
      636    0.001    0.000    0.002    0.000 inspect.py:167(get_annotations)
        2    0.000    0.000    0.002    0.001 linecache.py:26(getline)
        2    0.000    0.000    0.002    0.001 linecache.py:36(getlines)
  215/110    0.000    0.000    0.002    0.000 core.py:1832(default_name)
       67    0.000    0.000    0.002    0.000 colors.py:1108(<dictcomp>)
        1    0.000    0.000    0.002    0.002 linecache.py:80(updatecache)
      134    0.000    0.000    0.002    0.000 inspect.py:3023(replace)
     25/6    0.000    0.000    0.002    0.000 core.py:3816(streamline)
    38/18    0.000    0.000    0.002    0.000 core.py:4373(parseImpl)
        1    0.000    0.000    0.002    0.002 _pocketfft.py:1(<module>)
        1    0.000    0.000    0.002    0.002 core.py:5798(<listcomp>)
       33    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:164(_path_isdir)
      327    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:71(__init__)
      356    0.001    0.000    0.002    0.000 inspect.py:772(_findclass)
   256/18    0.000    0.000    0.002    0.000 ast.py:414(visit)
       62    0.000    0.000    0.002    0.000 core.py:1352(__add__)
     6444    0.001    0.000    0.002    0.000 enum.py:1095(__new__)
        1    0.000    0.000    0.002    0.002 _triinterpolate.py:1(<module>)
        1    0.000    0.000    0.002    0.002 dviread.py:1(<module>)
   256/18    0.000    0.000    0.002    0.000 ast.py:420(generic_visit)
      512    0.000    0.000    0.002    0.000 __init__.py:163(match)
     4567    0.001    0.000    0.002    0.000 {built-in method builtins.setattr}
        1    0.000    0.000    0.002    0.002 TiffTags.py:1(<module>)
     9481    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
    10732    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
       14    0.000    0.000    0.001    0.000 core.py:115(doc_note)
       73    0.001    0.000    0.001    0.000 {built-in method builtins.compile}
     78/4    0.000    0.000    0.001    0.000 core.py:909(_parseCache)
